Date,Price,Open,High,Low,Vol.,Change %
9-Nov-20,42.83,40.06,43.09,39.95,-,6.94%
8-Nov-20,40.05,39.7,40.15,39.47,-,1.52%
6-Nov-20,39.45,40.63,40.69,39.34,255.44K,-3.62%
5-Nov-20,40.93,40.96,41.53,40.33,219.20K,-0.73%
4-Nov-20,41.23,40.13,41.33,39.42,250.87K,3.83%
3-Nov-20,39.71,39.26,40.45,38.65,278.63K,1.90%
2-Nov-20,38.97,37.37,39.36,35.74,326.07K,4.03%
30-Oct-20,37.46,37.5,38.1,36.8,20.19K,-0.50%
29-Oct-20,37.65,39.16,39.45,36.64,112.49K,-3.76%
28-Oct-20,39.12,40.61,40.7,38.75,163.83K,-5.05%
27-Oct-20,41.2,40.5,41.47,40.4,207.54K,1.83%
26-Oct-20,40.46,41.53,41.63,40.22,210.53K,-3.14%
23-Oct-20,41.77,42.4,42.8,41.5,205.21K,-1.63%
22-Oct-20,42.46,41.59,42.79,41.46,257.20K,1.75%
21-Oct-20,41.73,42.91,43.04,41.45,268.88K,-3.31%
20-Oct-20,43.16,42.45,43.3,42.19,252.05K,1.27%
19-Oct-20,42.62,42.69,43.23,42.36,209.06K,-0.72%
16-Oct-20,42.93,43.1,43.21,42.27,197.16K,-0.53%
15-Oct-20,43.16,43.45,43.48,41.56,295.28K,-0.37%
14-Oct-20,43.32,42.43,43.45,42.13,279.12K,2.05%
13-Oct-20,42.45,41.81,42.68,41.66,227.85K,1.75%
12-Oct-20,41.72,42.6,42.71,41.36,238.87K,-2.64%
9-Oct-20,42.85,43.36,43.57,42.61,254.62K,-1.13%
8-Oct-20,43.34,42.15,43.47,41.86,266.26K,3.22%
7-Oct-20,41.99,41.85,42.42,41.36,241.20K,-1.55%
6-Oct-20,42.65,41.41,42.84,41.22,291.68K,3.29%
5-Oct-20,41.29,39.19,41.78,39.14,273.76K,5.14%
2-Oct-20,39.27,40.65,40.77,38.79,337.41K,-4.06%
1-Oct-20,40.93,42.17,42.56,39.92,338.72K,-0.05%
30-Sep-20,40.95,40.66,40.98,40.3,19.38K,-0.19%
29-Sep-20,41.03,42.47,42.52,40.43,91.60K,-3.30%
28-Sep-20,42.43,41.87,42.62,41.48,91.82K,1.22%
25-Sep-20,41.92,41.85,42.33,41.52,129.40K,-0.05%
24-Sep-20,41.94,41.36,42.02,41.27,162.93K,0.41%
23-Sep-20,41.77,41.67,42.62,41.21,183.88K,0.12%
22-Sep-20,41.72,41.79,42.2,41.21,210.74K,0.68%
21-Sep-20,41.44,43.01,43.3,40.96,217.36K,-3.96%
18-Sep-20,43.15,43.22,43.8,42.53,204.66K,-0.35%
17-Sep-20,43.3,42.32,43.5,41.5,237.40K,2.56%
16-Sep-20,42.22,40.72,42.44,40.59,237.25K,4.17%
15-Sep-20,40.53,39.7,40.82,39.39,214.80K,2.32%
14-Sep-20,39.61,39.78,40.09,39.3,200.09K,-0.55%
11-Sep-20,39.83,39.96,40.34,39.38,211.88K,-0.57%
10-Sep-20,40.06,40.58,40.96,39.71,208.86K,-1.79%
9-Sep-20,40.79,39.65,41.2,39.37,278.22K,2.54%
8-Sep-20,39.78,42.08,42.23,39.31,363.53K,-5.31%
7-Sep-20,42.01,42.2,42.43,41.51,122.98K,-1.52%
4-Sep-20,42.66,43.76,44.54,42.3,270.96K,-3.20%
3-Sep-20,44.07,44.65,44.65,43.15,274.93K,-0.81%
2-Sep-20,44.43,45.83,46.05,44.2,260.14K,-2.52%
1-Sep-20,45.58,45.6,46.22,45.47,206.72K,0.66%
31-Aug-20,45.28,45.8,46.53,45.21,174.31K,0.51%
28-Aug-20,45.05,45.1,45.3,44.8,21.14K,-0.09%
27-Aug-20,45.09,45.7,45.87,44.56,102.26K,-1.21%
26-Aug-20,45.64,45.97,46.1,45.54,132.51K,-0.48%
25-Aug-20,45.86,45.12,46.07,45.08,178.31K,1.62%
24-Aug-20,45.13,44.5,45.18,44.29,176.64K,1.76%
21-Aug-20,44.35,45.03,45.08,43.59,221.99K,-1.22%
20-Aug-20,44.9,45.14,45.18,44.02,249.74K,-1.04%
19-Aug-20,45.37,45.17,45.48,44.81,174.88K,-0.20%
18-Aug-20,45.46,45.27,45.55,44.76,181.69K,0.20%
17-Aug-20,45.37,44.86,45.41,44.53,164.23K,1.27%
14-Aug-20,44.8,45.29,45.29,44.47,151.46K,-0.36%
13-Aug-20,44.96,45.32,45.58,44.82,148.41K,-1.03%
12-Aug-20,45.43,44.62,45.63,44.49,166.48K,2.09%
11-Aug-20,44.5,45.05,45.79,44.39,202.74K,-1.09%
10-Aug-20,44.99,44.66,45.26,44.37,135.30K,1.33%
7-Aug-20,44.4,45.15,45.3,44.27,171.72K,-1.53%
6-Aug-20,45.09,45.32,45.71,44.85,184.52K,-0.18%
5-Aug-20,45.17,44.28,46.23,44.24,246.98K,1.67%
4-Aug-20,44.43,43.84,44.82,43.24,227.12K,0.63%
3-Aug-20,44.15,43.53,44.46,42.89,198.70K,1.96%
31-Jul-20,43.3,43.29,43.44,43.05,14.42K,0.84%
30-Jul-20,42.94,43.73,43.8,41.38,63.20K,-1.85%
29-Jul-20,43.75,43.31,43.95,43.2,64.92K,1.23%
