Date,Open,High,Low,Close,Adj_Close,Volume,Monthno,Day,Month,Ndate
1/2/2020,61.599998,61.599998,60.639999,61.18,61.18,486873,1,2,Jan,2-Jan
1/3/2020,61.18,64.089996,61.130001,63.049999,63.049999,885861,1,3,Jan,3-Jan
1/6/2020,63.709999,64.720001,62.639999,63.27,63.27,724236,1,6,Jan,6-Jan
1/7/2020,62.91,63.150002,62.110001,62.700001,62.700001,582649,1,7,Jan,7-Jan
1/8/2020,62.84,65.650002,59.150002,59.610001,59.610001,1205710,1,8,Jan,8-Jan
1/9/2020,59.990002,60.310001,58.66,59.560001,59.560001,750933,1,9,Jan,9-Jan
1/10/2020,59.610001,59.779999,58.849998,59.040001,59.040001,596186,1,10,Jan,10-Jan
1/13/2020,59.040001,59.27,57.91,58.080002,58.080002,584002,1,13,Jan,13-Jan
1/14/2020,58.029999,58.720001,57.720001,58.23,58.23,507714,1,14,Jan,14-Jan
1/15/2020,58.200001,58.360001,57.360001,57.810001,57.810001,433169,1,15,Jan,15-Jan
1/16/2020,58.099998,58.869999,57.560001,58.52,58.52,182871,1,16,Jan,16-Jan
1/17/2020,58.59,58.98,58.27,58.540001,58.540001,122561,1,17,Jan,17-Jan
1/21/2020,59.169998,59.73,57.68,58.34,58.34,648335,1,21,Jan,21-Jan
1/22/2020,58.259998,58.380001,56.029999,56.740002,56.740002,620119,1,22,Jan,22-Jan
1/23/2020,56.110001,56.27,54.77,55.59,55.59,703995,1,23,Jan,23-Jan
1/24/2020,55.689999,55.950001,53.849998,54.189999,54.189999,586195,1,24,Jan,24-Jan
1/27/2020,53.700001,53.709999,52.130001,53.139999,53.139999,712880,1,27,Jan,27-Jan
1/28/2020,52.77,54.060001,52.68,53.48,53.48,633963,1,28,Jan,28-Jan
1/29/2020,53.970001,54.369999,52.810001,53.330002,53.330002,624979,1,29,Jan,29-Jan
1/30/2020,53.09,53.200001,51.66,52.139999,52.139999,720123,1,30,Jan,30-Jan
1/31/2020,52.919998,53.360001,50.970001,51.560001,51.560001,827907,1,31,Jan,31-Jan
2/3/2020,51.009998,51.970001,49.799999,50.110001,50.110001,876044,2,3,Feb,3-Feb
2/4/2020,49.939999,51.549999,49.310001,49.610001,49.610001,859357,2,4,Feb,4-Feb
2/5/2020,49.509998,51.880001,49.470001,50.75,50.75,887946,2,5,Feb,5-Feb
2/6/2020,51.169998,52.200001,50.240002,50.950001,50.950001,750659,2,6,Feb,6-Feb
